,Happiness Rank,Country,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
54,55,Slovenia,5.848,1.18498,1.27385,0.8733700000000001,0.60855,0.25328,0.03787,2015
55,56,Lithuania,5.832999999999998,1.14723,1.25745,0.73128,0.21342,0.026410000000000003,0.01031,2015
56,57,Nicaragua,5.8279999999999985,0.59325,1.14184,0.7431399999999999,0.55475,0.27815,0.19317,2015
57,58,Peru,5.824,0.9001899999999999,0.97459,0.73017,0.4149600000000001,0.14982,0.05989,2015
58,59,Belarus,5.813,1.0319200000000002,1.23289,0.7360800000000001,0.37938,0.11046,0.1909,2015
59,60,Poland,5.791,1.12555,1.27948,0.77903,0.53122,0.16759000000000002,0.04212,2015
60,61,Malaysia,5.77,1.12486,1.07023,0.7239399999999999,0.5302399999999999,0.33075,0.10501,2015
61,62,Croatia,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,2015
62,63,Libya,5.754,1.13145,1.1186200000000002,0.7038,0.41668,0.18295,0.11023,2015
63,64,Russia,5.716,1.13764,1.23617,0.6692600000000001,0.36679,0.00199,0.03005,2015
64,65,Jamaica,5.709,0.81038,1.1510200000000002,0.6874100000000001,0.50442,0.2123,0.02299,2015
65,66,North Cyprus,5.695,1.20806,1.07008,0.92356,0.49027,0.26169000000000003,0.1428,2015
66,67,Cyprus,5.689,1.20813,0.89318,0.92356,0.40672,0.30638000000000004,0.06146,2015
67,68,Algeria,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17382999999999998,2015
68,69,Kosovo,5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741,2015
69,70,Turkmenistan,5.547999999999999,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844,2015
70,71,Mauritius,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521,2015
71,72,Hong Kong,5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,2015
72,73,Estonia,5.4289999999999985,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,2015
73,74,Indonesia,5.399,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.51535,0.0,2015
74,75,Vietnam,5.36,0.63216,0.91226,0.7467600000000001,0.59444,0.1686,0.10441,2015
75,76,Turkey,5.332000000000002,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,2015
76,77,Kyrgyzstan,5.2860000000000005,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232,2015
77,78,Nigeria,5.268,0.65435,0.90432,0.16007000000000002,0.34334000000000003,0.27233,0.0403,2015
78,79,Bhutan,5.252999999999999,0.77042,1.10395,0.57407,0.5320600000000001,0.47998,0.15445,2015
79,80,Azerbaijan,5.2120000000000015,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,2015
80,81,Pakistan,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,2015
81,82,Jordan,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293,2015
82,82,Montenegro,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296,2015
83,84,China,5.14,0.89012,0.94675,0.81658,0.5169699999999999,0.08185,0.02781,2015
84,85,Zambia,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,2015
85,86,Romania,5.124,1.04345,0.8858799999999999,0.7689,0.35068,0.13748,0.006490000000000001,2015
86,87,Serbia,5.122999999999998,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617,2015
87,88,Portugal,5.102,1.15991,1.13935,0.8751899999999999,0.51469,0.13719,0.01078,2015
88,89,Latvia,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,2015
89,90,Philippines,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,2015
90,91,Somaliland region,5.057,0.18847,0.95152,0.43873,0.46582,0.5031800000000001,0.39928,2015
91,92,Morocco,5.013,0.7347899999999999,0.64095,0.60954,0.4169100000000001,0.07172,0.08546000000000001,2015
92,93,Macedonia,5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.053270000000000005,2015
93,94,Mozambique,4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603,2015
94,95,Albania,4.959,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.14272,0.06412999999999999,2015
95,96,Bosnia and Herzegovina,4.949,0.8322299999999999,0.91916,0.79081,0.09245,0.24808,0.00227,2015
